epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.20123,5.65984,3.66168,4.20067,0,0,0,0,5.58812,3.65723,4.16081,6e-05,6e-05,6e-05
2,5.15096,5.50396,3.66989,4.20492,0,0,0,0,5.58847,3.65362,4.16111,0.000139307,0.000139307,0.000139307
3,7.33242,5.89402,3.59775,4.16018,0,0,0,0,5.58838,3.6435,4.15778,0.000217822,0.000217822,0.000217822
4,9.77197,5.45436,3.51326,4.12294,0,0,0,0,5.57667,3.62115,4.1494,0.000295545,0.000295545,0.000295545
5,11.8359,5.44799,3.3308,4.00739,0.00019,0.00066,0.0001,2e-05,5.55931,3.59091,4.13545,0.000372476,0.000372476,0.000372476
6,13.7459,5.28959,3.05773,3.87389,0,0,0,0,5.53884,3.55831,4.1189,0.000448615,0.000448615,0.000448615
7,15.5984,4.67205,2.73848,3.87916,0,0,0,0,5.52381,3.53736,4.10626,0.000523962,0.000523962,0.000523962
8,17.4023,4.67262,2.52428,3.70548,0,0,0,0,5.49867,3.50356,4.08508,0.000598517,0.000598517,0.000598517
9,19.2953,4.37584,2.42254,3.65717,0.00019,0.00066,9e-05,2e-05,5.46815,3.47094,4.06067,0.00067228,0.00067228,0.00067228
10,21.1701,4.20607,2.26812,3.51548,0.00019,0.00066,9e-05,1e-05,5.40466,3.40704,4.01536,0.000745251,0.000745251,0.000745251
11,22.9686,3.98614,2.44329,3.33211,0.00019,0.00066,9e-05,1e-05,5.40703,3.42297,4.01484,0.00081743,0.00081743,0.00081743
12,24.7464,3.57684,2.11487,3.37774,0.00019,0.00066,9e-05,1e-05,5.37599,3.3819,3.99317,0.000888817,0.000888817,0.000888817
13,26.5838,3.74182,2.23446,3.0615,0.00019,0.00066,9e-05,1e-05,5.5654,3.62186,4.14549,0.000959412,0.000959412,0.000959412
14,28.3754,4.02876,2.69268,3.00323,0.00019,0.00066,9e-05,1e-05,5.48812,3.56239,4.08649,0.00102922,0.00102922,0.00102922
15,30.071,3.1709,1.70585,2.78782,0.00019,0.00066,9e-05,2e-05,5.49346,3.59502,4.09419,0.00109823,0.00109823,0.00109823
16,31.9908,3.31721,1.75474,2.8171,0.00667,0.02362,0.00347,0.00085,5.46446,3.51647,4.07016,0.00116645,0.00116645,0.00116645
