                      epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.933,                 3.5848,                 4.1924,                      0,                      0,                      0,                      0,                 6.1787,                 3.7012,                 4.1573,                0.00026,                0.00026,                0.00026
                      2,                 4.3793,                 2.8545,                 4.0518,                      0,                      0,                      0,                      0,                 6.1572,                 3.6782,                  4.132,             0.00052931,             0.00052931,             0.00052931
                      3,                 3.6435,                 2.2037,                 3.7135,                      0,                      0,                      0,                      0,                 6.1244,                 3.6715,                 4.0975,             0.00078753,             0.00078753,             0.00078753
                      4,                 2.8885,                 1.7416,                 3.1915,                      0,                      0,                      0,                      0,                 6.1018,                  3.668,                 4.0851,              0.0010347,              0.0010347,              0.0010347
                      5,                 2.5858,                 1.5656,                 2.8172,                      0,                      0,                      0,                      0,                 6.2021,                 3.7177,                 4.2383,              0.0012707,              0.0012707,              0.0012707
                      6,                 2.4644,                 1.5117,                 2.5696,                0.03741,                0.17177,                 0.0685,                0.01858,                 4.6696,                 2.4107,                 3.1228,              0.0014957,              0.0014957,              0.0014957
                      7,                 2.3778,                  1.438,                 2.3901,                0.22098,                0.11735,                0.06889,                 0.0221,                 4.8555,                 2.8268,                 3.4356,              0.0017095,              0.0017095,              0.0017095
                      8,                 2.2787,                 1.3955,                 2.2471,                0.13859,                0.52891,                0.10299,                0.03946,                 2.7924,                 6.1642,                 2.2522,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.2743,                 1.3692,                 2.1711,                0.15497,                0.57483,                0.12134,                0.04842,                 2.6515,                 5.1635,                 2.1957,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.1949,                 1.3794,                 2.0988,                0.26567,                0.54762,                0.21616,                0.08119,                 2.5102,                  1.946,                 2.0625,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.1784,                 1.3663,                  2.056,                0.21796,                0.52896,                0.17543,                0.06487,                 2.6061,                  2.463,                 2.0775,               0.001604,               0.001604,               0.001604
                     12,                 2.1978,                 1.3694,                 2.0132,                0.29414,                0.57332,                0.25287,                0.09313,                 2.4453,                  2.188,                 1.9492,              0.0015644,              0.0015644,              0.0015644
                     13,                  2.142,                 1.3272,                 1.9453,                0.27659,                0.55272,                0.23723,                0.08555,                 2.4886,                 2.1276,                 1.9907,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.0979,                 1.3107,                 1.9123,                0.39083,                0.58844,                0.36108,                0.12496,                 2.4498,                 1.5613,                  1.953,              0.0014852,              0.0014852,              0.0014852
                     15,                  2.117,                 1.3197,                 1.8849,                0.55216,                0.69048,                0.57581,                0.21127,                  2.298,                 1.2413,                 1.8274,              0.0014456,              0.0014456,              0.0014456
