                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9444,                 3.6621,                 4.2452,                      0,                      0,                      0,                      0,                 5.5896,                 3.6524,                 4.1605,                  6e-05,                  6e-05,                  6e-05
                      2,                 5.0909,                 3.6428,                 4.2033,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5895,                 3.6504,                 4.1608,             0.00013723,             0.00013723,             0.00013723
                      3,                 5.1193,                   3.56,                 4.1704,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5865,                 3.6455,                 4.1588,             0.00021129,             0.00021129,             0.00021129
                      4,                 4.6563,                 3.3554,                 4.1273,                0.00019,                0.00066,                  9e-05,                  1e-05,                   5.58,                 3.6378,                 4.1538,             0.00028218,             0.00028218,             0.00028218
                      5,                 4.4097,                 3.0694,                 4.0842,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5742,                 3.6324,                 4.1495,              0.0003499,              0.0003499,              0.0003499
                      6,                 4.8396,                 2.8319,                 4.0026,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5661,                 3.6276,                 4.1435,             0.00041446,             0.00041446,             0.00041446
                      7,                 4.5482,                 2.6262,                  3.949,                0.00019,                0.00066,                  9e-05,                  2e-05,                 5.5575,                  3.627,                 4.1373,             0.00047585,             0.00047585,             0.00047585
                      8,                  3.878,                 2.2887,                 3.8452,                0.00019,                0.00066,                  9e-05,                  2e-05,                 5.5552,                 3.6439,                 4.1369,             0.00053407,             0.00053407,             0.00053407
                      9,                 3.7556,                   2.13,                  3.709,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5551,                  3.661,                 4.1392,             0.00058912,             0.00058912,             0.00058912
                     10,                 3.5427,                 2.0374,                 3.5891,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5589,                  3.677,                 4.1451,               0.000641,               0.000641,               0.000641
                     11,                 3.0552,                 2.0275,                 3.5644,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5501,                 3.6673,                 4.1407,             0.00068972,             0.00068972,             0.00068972
                     12,                 2.9573,                 1.7365,                 3.3206,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.6054,                 3.7827,                 4.1938,             0.00073527,             0.00073527,             0.00073527
                     13,                 2.8435,                 1.8082,                 3.2462,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.6602,                 3.8918,                 4.2503,             0.00077765,             0.00077765,             0.00077765
                     14,                 2.9188,                  1.744,                 3.1755,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.6595,                 3.8895,                 4.2524,             0.00081686,             0.00081686,             0.00081686
                     15,                 2.7185,                  1.603,                 3.0213,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.6738,                 3.8574,                 4.2669,              0.0008529,              0.0008529,              0.0008529
                     16,                 2.5907,                 1.6517,                 2.9529,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5596,                 3.6192,                 4.1574,             0.00088578,             0.00088578,             0.00088578
                     17,                 2.6691,                 1.5284,                 2.7545,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.4856,                  3.512,                  4.094,             0.00091549,             0.00091549,             0.00091549
                     18,                 2.5689,                 1.5628,                 2.8108,                0.00352,                0.01247,                0.00184,                0.00035,                 5.6218,                 3.1691,                 3.6204,             0.00094203,             0.00094203,             0.00094203
                     19,                 2.6467,                 1.5419,                 2.7253,                0.00722,                0.02559,                 0.0038,                0.00083,                 5.3354,                 3.1094,                 3.4924,              0.0009654,              0.0009654,              0.0009654
                     20,                 2.4993,                  1.518,                 2.6616,                0.00759,                 0.0269,                0.00399,                 0.0009,                 5.3262,                 3.0716,                 3.4375,              0.0009856,              0.0009856,              0.0009856
                     21,                  2.595,                 1.4979,                  2.602,                 0.0002,                0.00066,                 0.0001,                  1e-05,                 5.6851,                  3.968,                 4.2582,              0.0010026,              0.0010026,              0.0010026
                     22,                 2.3986,                 1.4469,                 2.5257,                0.02796,                0.09908,                 0.0169,                0.00528,                 4.8441,                 3.2918,                 3.7576,              0.0010165,              0.0010165,              0.0010165
                     23,                 2.4769,                 1.4573,                 2.5132,                0.07796,                0.27625,                0.10232,                0.03595,                 3.8999,                 2.7593,                 3.4556,              0.0010272,              0.0010272,              0.0010272
