                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6472,                 3.6822,                 4.1716,                      0,                      0,                      0,                      0,                 5.5873,                 3.6535,                 4.1583,                  6e-05,                  6e-05,                  6e-05
                      2,                 5.7959,                 3.4484,                 4.0972,                      0,                      0,                      0,                      0,                 5.5842,                  3.637,                 4.1546,             0.00013908,             0.00013908,             0.00013908
                      3,                 5.4232,                 2.9093,                  3.968,                      0,                      0,                      0,                      0,                 5.5765,                  3.582,                 4.1445,              0.0002171,              0.0002171,              0.0002171
                      4,                 5.2772,                 2.4192,                 3.7662,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5622,                 3.4789,                 4.1269,             0.00029406,             0.00029406,             0.00029406
                      5,                 5.0029,                 2.2041,                 3.6593,                0.00019,                0.00066,                  9e-05,                  1e-05,                  5.555,                 3.4136,                  4.119,             0.00036997,             0.00036997,             0.00036997
                      6,                 4.7566,                 2.1184,                 3.6056,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5419,                 3.2929,                 4.1045,             0.00044482,             0.00044482,             0.00044482
                      7,                 4.5847,                 2.0675,                 3.5426,                0.00019,                0.00066,                  9e-05,                  1e-05,                 5.5381,                 3.2125,                 4.1025,             0.00051862,             0.00051862,             0.00051862
                      8,                 4.4334,                  2.004,                 3.4511,                0.00407,                0.01444,                0.00209,                0.00051,                 5.5289,                  3.096,                 4.0951,             0.00059136,             0.00059136,             0.00059136
                      9,                 3.9919,                 1.9785,                 3.3235,                0.00741,                0.02625,                0.00389,                0.00099,                 5.5595,                 3.0893,                 4.1294,             0.00066304,             0.00066304,             0.00066304
                     10,                 3.6873,                  1.853,                 3.1017,                0.00907,                0.03215,                0.00495,                0.00125,                 5.4424,                 2.8421,                 4.0204,             0.00073367,             0.00073367,             0.00073367
                     11,                 3.5401,                 1.6825,                  2.962,                0.01389,                0.04921,                0.00768,                0.00193,                 5.3139,                 2.6848,                 3.9207,             0.00080324,             0.00080324,             0.00080324
                     12,                 3.1808,                 1.5924,                 2.7822,                0.01611,                0.05709,                0.00894,                0.00236,                 5.3267,                 2.7529,                 3.9399,             0.00087176,             0.00087176,             0.00087176
                     13,                 3.1069,                 1.5052,                 2.7482,                 0.0187,                0.06627,                0.01078,                  0.003,                 5.1928,                 2.8021,                 3.8476,             0.00093922,             0.00093922,             0.00093922
                     14,                 2.9181,                 1.4353,                 2.6814,                0.00944,                0.03346,                0.00506,                0.00134,                 5.4791,                 3.0783,                 4.0754,              0.0010056,              0.0010056,              0.0010056
                     15,                 2.9135,                 1.4465,                 2.5726,                0.00537,                0.01903,                0.00278,                0.00054,                 5.5069,                 3.0895,                 4.0983,               0.001071,               0.001071,               0.001071
                     16,                 2.8518,                 1.3922,                 2.5734,                0.00778,                0.02756,                0.00414,                 0.0008,                 5.4115,                 2.9855,                 4.0073,              0.0011353,              0.0011353,              0.0011353
